Order number,Ordered for,NBN Co Location ID,Date ordered,Order Planned Completion Date,PWO,CWO,nbnreasoncode,nbnappend,Call Received,Truck Rolls,SP status, Completion,Percentage Completetion
ORD420020641820,ASI000000001074,LOC000002093666,22/03/2019 14:34,28/03/2019 12:00,WOR700039856973,WOR700039856987,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD410001533439,ASI000000000035,LOC000004731309,20/03/2019 15:14,27/03/2019 17:00,WOR700039658225,WOR700039658239,FINISHED,27/03/2019 17:00,Yes,Yes,Complete,1,
ORD420020549165,ASI000000000035,LOC000004731309,20/03/2019 12:43,27/03/2019 17:00,WOR700039631376,WOR700039631382,FINISHED,27/03/2019 17:00,Yes,Yes,Complete,1,
ORD420019617048,ASI000000000035,LOC000004993857,25/02/2019 18:09,25/03/2019 12:00,WOR700037623574,WOR700037623588,NO-RESOURCE-CAPACITY,25/03/2019 13:00,,,In progress,0,
ORD420019618459,ASI000000000035,LOC000004993857,25/02/2019 18:40,26/03/2019 12:00,WOR700037627306,WOR700037627310,ORDER-CAN,26/03/2019 13:00,Yes,Yes,Cancelled,0,
ORD420020228261,ASI000000000026,LOC000007948802,13/03/2019 10:30,27/03/2019 11:00,WOR700038993631,WOR700038993649,PHY-INST-COMP,27/03/2019 15:00,Yes,Yes,Complete,1,
ORD420020690561,ASI000000220777,LOC000007948802,23/03/2019 11:33,1/04/2019 17:00,WOR700039936447,WOR700039936452,ASSIGNED,1/04/2019 20:00,,,In progress,0,
ORD420019989140,ASI000000220282,LOC000009887896,7/03/2019 11:20,28/03/2019 17:00,WOR700038529825,WOR700038529839,EU-TECHNICIAN-REQUIRED,28/03/2019 18:00,Yes,Yes,In progress - Pending,0,
ORD420020324681,ASI000000001104,LOC000010073069,15/03/2019 8:10,28/03/2019 17:00,WOR700039303376,WOR700039303382,FINISHED,28/03/2019 17:00,,Yes,Complete,1,
ORD410001458844,ASI000000000035,LOC000010607891,4/03/2019 15:49,27/03/2019 12:00,WOR700039614111,WOR700039614124,FINISHED,27/03/2019 15:00,,Yes,Complete,1,
ORD420020318585,ASI000000000035,LOC000010607891,15/03/2019 3:42,1/04/2019 17:00,WOR700039181817,WOR700039181829,ASSIGNED,1/04/2019 20:00,,,In progress,0,
ORD420020401640,ASI000000220777,LOC000010892255,17/03/2019 15:32,28/03/2019 17:00,WOR700039342798,WOR700039342808,FINISHED,28/03/2019 17:00,,Yes,Complete,1,
ORD420020549235,ASI000000220282,LOC000010892255,20/03/2019 12:45,30/03/2019 17:00,WOR700039632032,WOR700039632045,FINISHED-NIA,30/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420020318724,ASI000000001074,LOC000011896281,15/03/2019 4:15,28/03/2019 12:00,WOR700039181990,WOR700039182000,NEW-LIC-CIVILS,28/03/2019 12:00,Yes,Yes,In progress - Held,0,
ORD420020431422,ASI000000001074,LOC000012719767,18/03/2019 11:50,27/03/2019 17:00,WOR700039425789,WOR700039425791,FINISHED,27/03/2019 17:00,,Yes,Complete,1,
ORD420019645334,ASI000000000035,LOC000014636277,26/02/2019 13:04,27/03/2019 12:00,WOR700037698222,WOR700037698233,EU-DECLINE-CONNECTION,27/03/2019 12:00,Yes,Yes,In progress,0,
ORD420020322512,ASI000000000026,LOC000014636277,15/03/2019 7:12,25/03/2019 17:00,WOR700039187902,WOR700039187918,FINISHED,25/03/2019 17:00,,Yes,Complete,1,
ORD420020604775,ASI000000000035,LOC000015037952,21/03/2019 23:57,26/03/2019 12:00,WOR700039818098,WOR700039818112,FINISHED,26/03/2019 13:00,,Yes,Complete,1,
ORD420020605191,ASI000000000035,LOC000015037952,22/03/2019 0:13,27/03/2019 17:00,WOR700039816614,WOR700039816633,EU-DECLINE-CONNECTION,27/03/2019 18:00,Yes,Yes,In progress,0,
ORD420020320882,ASI000000000026,LOC000015219828,15/03/2019 5:57,28/03/2019 12:00,WOR700039197162,WOR700039197191,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,28/03/2019 12:00,,,In progress,0,
ORD420020344234,ASI000000220777,LOC000015219828,15/03/2019 18:04,28/03/2019 17:00,WOR700039262736,WOR700039262743,FINISHED-NIA,28/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420020388465,ASI000000000035,LOC000015414214,16/03/2019 16:59,25/03/2019 17:00,WOR700039328098,WOR700039328108,FINISHED,25/03/2019 18:00,,Yes,Complete,1,
